store_name,discount,category
La Griglia US,10.80%,Food & Drink
LaGriglia US,9.18%,Food & Drink
Land's End - US,14.40%,Fashion
Landry’s Restaurant,10.80%,"Experiences, Food & Drink"
Landry’s Seafood House,10.80%,Food & Drink
Legal Sea Foods - US,13.50%,Food & Drink
Logan's Roadhouse US,7.65%,Food & Drink
Longhorn Steakhouse,9.00%,Food & Drink
Lowe's,4.50%,Home & DIY
Lululemon US,4.50%,"Fashion, Leisure & Sports"
Macy's US,11.70%,"Beauty & Lifestyle, Department Stores, Fashion"
Maggiano's Little Italy US,8.55%,Food & Drink
Maggie Bluffs US,10.80%,Food & Drink
Mai Tai Bar US,10.80%,Food & Drink
Main Event US,12.24%,Entertainment
Mandarin Oriental Hotel Group US,6.12%,"Entertainment, Food & Drink, Travel"
Manzana Rotisserie Grill US,10.80%,Food & Drink
Mark & Graham US,7.65%,Home & DIY
Marshalls US,8.10%,"Fashion, Home & DIY"
Mastro's US,10.80%,Food & Drink
maurices US,9.18%,"Fashion, Jewellers"
McAlister's Deli US,7.65%,Food & Drink
McCormick & Schmick’s Restaurant,10.80%,Food & Drink
Michaels US,9.36%,"Department Stores, Home & DIY, Leisure & Sports"
Mitchell's Steakhouse US,10.80%,Food & Drink
Mitchell’s Fish Market Restaurant,10.80%,Food & Drink
"Mix It Up (Auntie Anne’s, Carvel, Cinnabon, Jamba, McAlister’s, Moe’s Southwest Grill, Schlotzsky’s) US",7.65%,Food & Drink
MLB Shop US,9.18%,Leisure & Sports
Moe's Southwest Grill US,7.65%,Food & Drink
Morton’s Restaurant,10.80%,Food & Drink
NastyGal US,5.40%,Fashion
Nautica - US,10.80%,Fashion
NBA Store US,9.18%,Leisure & Sports
NetDragon Universal US,9.95%,"Entertainment, Toys & Games"
Nexon Karma Koin US,7.65%,"Entertainment, Toys & Games"
NHL Shop US,9.18%,Leisure & Sports
Nike US,11.70%,"Fashion, Leisure & Sports"
Ninety Nine Restaurant & Pub - US,11.70%,Food & Drink
Nintendo eShop US,8.37%,Entertainment
Nordstrom Rack US,5.40%,"Department Stores, Fashion"
Nordstrom US,5.40%,Department Stores
O'Charley's - US,11.70%,Food & Drink
Old Navy,11.70%,"Department Stores, Fashion"
Olive Garden,9.00%,Food & Drink
Omaha Steaks US,12.60%,Food & Drink
Outback Steakhouse,9.00%,"Experiences, Food & Drink"
Overstock.com - US,8.42%,Home & DIY
P.C. Richard and Son US,4.21%,"Electricals, Home & DIY"
P.F. Chang’s,9.00%,Food & Drink
Palisade US,10.80%,Food & Drink
Panda Express US,7.20%,Food & Drink
Panera Bread®,9.00%,Food & Drink
Papa John's US,7.92%,Food & Drink
Paramount+ - US,9.95%,Entertainment
Peet's Coffee US,9.76%,Food & Drink
Peohe's US,10.80%,Food & Drink
Perigold.com US,8.64%,Home & DIY
Personalization Universe,11.70%,Department Stores
Petco US,11.52%,Supermarkets
PetSmart US,6.12%,Supermarkets
Pinkberry® US,7.65%,Food & Drink
PlayStation Store,4.50%,Entertainment
Portland City Grill US,10.80%,Food & Drink
Pottery Barn Teen US,7.65%,Home & DIY
Pottery Barn US,7.65%,Home & DIY
Primark US,6.30%,"Beauty & Lifestyle, Department Stores, Fashion, Home & DIY"
ProAM Golf - US,16.20%,Entertainment
QuickGifts Card Mall dibbs US,6.12%,"Beauty & Lifestyle, Department Stores, Fashion, Food & Drink, Leisure & Sports, Travel"
Rainforest Cafe Restaurant,10.80%,Food & Drink
Razer Gold US,5.74%,"Entertainment, Toys & Games"
Really Color US,11.48%,"Booksellers, Electricals, Entertainment, Toys & Games, Travel"
Red Robin®,9.00%,Food & Drink
Regal Cinemas US,7.20%,Entertainment
REI US,11.70%,Leisure & Sports
RentacarGift US,6.30%,"Experiences, Leisure & Sports, Travel"
Restaurant.com US,9.00%,Food & Drink
River Crab/Bluewater Inn US,9.18%,Food & Drink
Roblox US,12.24%,Entertainment
Royal Caribbean International US,13.50%,"Leisure & Sports, Travel"
Rubio’s Coastal Grill US,7.65%,Food & Drink
Ruby Tuesday US,7.65%,Food & Drink
rue21 US,7.65%,Fashion
Rusty Pelican US,10.80%,Food & Drink
Ruth's Chris Steak House US,9.00%,Food & Drink
Saks Fifth Avenue US,9.00%,"Department Stores, Fashion"
Saks OFF 5TH US,9.00%,"Department Stores, Fashion"
Saltgrass Steak House Restaurant,10.80%,Food & Drink
Sam's Club US,2.25%,Supermarkets
Schlotzky's US,7.65%,Food & Drink
Seasons 52®,9.00%,Food & Drink
Sephora US,7.92%,Beauty & Lifestyle
Shari's Berries US,11.70%,Food & Drink
Shutterfly US,9.18%,Electricals
